equipo,categoria
Deportivo Alavés,B
Athletic Club,B
Atlético de Madrid,B
FC Barcelona,A
Real Betis Balompié,B
RC Celta de Vigo,B
SD Eibar,C
RCD Espanyol,B
Getafe CF,B
Granada CF,C
CD Leganés,C
Levante UD,B
RCD Mallorca,C
CA Osasuna,C
Real Sociedad,A
Real Madrid CF,A
Sevilla FC,B
Valencia CF,B
Real Valladolid CF,C
Villarreal CF,B
